"","sample_id","STAD_CIN","STAD_EBV","STAD_GS","STAD_MSI","TCGA_subtype","High_cal","Low_cal","TME_subtype","tissue.x","cancer","treatment","Drug.Name","IC50","Slope","max_response","Cmin","Cmax","DSS_3"
"1","54C",0.0402095453764901,0.0108684946245428,0.0345651982584991,0.914356761740468,"STAD_MSI",0.764036449752792,0.235963550247208,"High_cal","organoid","Cancer",TRUE,"FOLFOX",1081,0.9535,97.9774303849447,1,2e+05,42.1380928
"2","54C",0.0402095453764901,0.0108684946245428,0.0345651982584991,0.914356761740468,"STAD_MSI",0.764036449752792,0.235963550247208,"High_cal","organoid","Cancer",TRUE,"FLOT",507.2,0.9447,98.4882223378711,1,134333.333,46.70973327
"3","54C",0.0402095453764901,0.0108684946245428,0.0345651982584991,0.914356761740468,"STAD_MSI",0.764036449752792,0.235963550247208,"High_cal","organoid","Cancer",TRUE,"FLOT_BOLD",50621,2.358,99.102946798194,1,372225.625,15.47414715
"4","54C",0.0402095453764901,0.0108684946245428,0.0345651982584991,0.914356761740468,"STAD_MSI",0.764036449752792,0.235963550247208,"High_cal","organoid","Cancer",TRUE,"FOLFOX_BOLD",33895,0.8414,88.4898975187789,1,382769.063,18.16850881
"5","54C",0.0402095453764901,0.0108684946245428,0.0345651982584991,0.914356761740468,"STAD_MSI",0.764036449752792,0.235963550247208,"High_cal","organoid","Cancer",TRUE,"BOLD",195952,3.739,99.161637323439,1,702247.5,9.4359495
"6","55C",0.875307533838994,0.0106024935872395,0.0750074501089618,0.0390825224648044,"STAD_CIN",0.224830515216091,0.775169484783909,"Low_cal","organoid","Cancer",TRUE,"FOLFOX",4929,0.5596,80.6633039025709,1,2e+05,27.0331627
"7","55C",0.875307533838994,0.0106024935872395,0.0750074501089618,0.0390825224648044,"STAD_CIN",0.224830515216091,0.775169484783909,"Low_cal","organoid","Cancer",TRUE,"BOLD",228215,8.138,99.989343364575,1,702247.5,4.84764194
"8","55C",0.875307533838994,0.0106024935872395,0.0750074501089618,0.0390825224648044,"STAD_CIN",0.224830515216091,0.775169484783909,"Low_cal","organoid","Cancer",TRUE,"FLOT_BOLD",113077,3.564,98.5881398945776,1,372225.625,9.21625488
"9","55C",0.875307533838994,0.0106024935872395,0.0750074501089618,0.0390825224648044,"STAD_CIN",0.224830515216091,0.775169484783909,"Low_cal","organoid","Cancer",TRUE,"FOLFOX_BOLD",106030,3.358,98.6752395297327,1,382769.063,9.91282688
"10","55C",0.875307533838994,0.0106024935872395,0.0750074501089618,0.0390825224648044,"STAD_CIN",0.224830515216091,0.775169484783909,"Low_cal","organoid","Cancer",TRUE,"FLOT",7023,0.8913,83.1794110979968,1,134333.333,22.22434763
"11","59C",0.93804527231689,0.021747161040829,0.0324987923382979,0.00770877430398286,"STAD_CIN",0.228842741269713,0.771157258730287,"Low_cal","organoid","Cancer",TRUE,"FLOT_BOLD",52032,2.067,98.3151849367313,1,372225.625,15.20014487
"12","59C",0.93804527231689,0.021747161040829,0.0324987923382979,0.00770877430398286,"STAD_CIN",0.228842741269713,0.771157258730287,"Low_cal","organoid","Cancer",TRUE,"FLOT",1088,1.156,98.5622832533347,1,134333.333,40.35130712
"13","59C",0.93804527231689,0.021747161040829,0.0324987923382979,0.00770877430398286,"STAD_CIN",0.228842741269713,0.771157258730287,"Low_cal","organoid","Cancer",TRUE,"BOLD",188502,3.733,99.267560041443,1,702247.5,9.72801282
"14","59C",0.93804527231689,0.021747161040829,0.0324987923382979,0.00770877430398286,"STAD_CIN",0.228842741269713,0.771157258730287,"Low_cal","organoid","Cancer",TRUE,"FOLFOX",1818,1.481,99.482021067984,1,2e+05,38.35909206
"15","59C",0.93804527231689,0.021747161040829,0.0324987923382979,0.00770877430398286,"STAD_CIN",0.228842741269713,0.771157258730287,"Low_cal","organoid","Cancer",TRUE,"FOLFOX_BOLD",49803,2.082,98.5886608484859,1,382769.063,15.74114777
"16","62C",0.996018523635978,0.00139702974676798,0.000846401986659856,0.00173804463059373,"STAD_CIN",0.436650220788438,0.563349779211562,"Low_cal","organoid","Cancer",TRUE,"BOLD",251104,5.563,99.6735870185694,1,702247.5,6.12695978
"17","62C",0.996018523635978,0.00139702974676798,0.000846401986659856,0.00173804463059373,"STAD_CIN",0.436650220788438,0.563349779211562,"Low_cal","organoid","Cancer",TRUE,"FOLFOX_BOLD",42915,3.272,99.9223882337549,1,382769.063,17.0135066
"18","62C",0.996018523635978,0.00139702974676798,0.000846401986659856,0.00173804463059373,"STAD_CIN",0.436650220788438,0.563349779211562,"Low_cal","organoid","Cancer",TRUE,"FOLFOX",744.1,1.453,99.8434051022296,1,2e+05,45.77389955
"19","62C",0.996018523635978,0.00139702974676798,0.000846401986659856,0.00173804463059373,"STAD_CIN",0.436650220788438,0.563349779211562,"Low_cal","organoid","Cancer",TRUE,"FLOT_BOLD",47843,3.784,99.9574657468917,1,372225.625,15.98942582
"20","62C",0.996018523635978,0.00139702974676798,0.000846401986659856,0.00173804463059373,"STAD_CIN",0.436650220788438,0.563349779211562,"Low_cal","organoid","Cancer",TRUE,"FLOT",611.4,1.992,99.9782867522407,1,134333.333,45.65874528
"21","64C",0.801340782312265,0.0405321474343945,0.0881661704938057,0.0699608997595353,"STAD_CIN",0.153439416585226,0.846560583414774,"Low_cal","organoid","Cancer",TRUE,"BOLD",214191,5.757,99.8926557827356,1,702247.5,6.97180064
